,DATE,PTS,AST,TRB,Player,Position
347,2000-12-15,-0.9819184420583106,0.9712140138204177,0.30492141025767544,Jason Kidd,8
348,2000-12-15,0.8373160175198697,-0.6197331347252238,1.1933817002798301,Chris Webber,4
349,2000-12-15,1.8004401431789063,0.3348351544021611,-0.8056539522700179,Tracy McGrady,6
350,2000-12-15,-0.8749046503184176,-0.9379225644343522,-0.5835388797644793,Ray Allen,11
351,2000-12-15,0.4092608505602979,-0.6197331347252238,-0.8056539522700179,Allen Iverson,1
352,2000-12-15,-0.7678908585785247,-1.5743014238526087,-1.0277690247755566,Vince Carter,12
353,2000-12-15,-0.5538632750987388,-1.2561119941434804,-0.8056539522700179,Kobe Bryant,9
354,2000-12-15,-0.4468494833588458,-0.30154370501609556,-0.3614238072589406,Karl Malone,7
355,2000-12-16,-1.0889322337982035,-0.30154370501609556,-0.3614238072589406,Jason Kidd,8
356,2000-12-16,-0.33983569161895283,-0.30154370501609556,0.08280633775213675,Anthony Mason,16
357,2000-12-16,-0.4468494833588458,-1.5743014238526087,-0.1393087347534019,David Robinson,10
358,2000-12-16,-0.9819184420583106,0.016645724693032767,0.30492141025767544,Karl Malone,7
359,2000-12-16,-0.5538632750987388,-0.9379225644343522,0.08280633775213675,Tim Duncan,2
360,2000-12-16,1.2653711844794415,0.016645724693032767,2.748187207818601,Kevin Garnett,5
361,2000-12-16,-0.33983569161895283,-0.6197331347252238,-0.5835388797644793,Paul Pierce,13
362,2000-12-16,1.1583573927395485,0.9712140138204177,-0.5835388797644793,Allen Iverson,1
363,2000-12-16,-0.6608770668386317,0.6530245841112894,-1.6941142422921727,John Stockton,17
364,2000-12-17,0.19523326708051197,0.6530245841112894,-0.1393087347534019,Jerry Stackhouse,14
365,2000-12-17,0.9443298092597627,0.3348351544021611,0.9712666277742914,Vince Carter,12
366,2000-12-17,-0.9819184420583106,0.9712140138204177,-0.5835388797644793,Michael Finley,15
367,2000-12-17,1.9074539349187993,-0.30154370501609556,-0.1393087347534019,Kobe Bryant,9
368,2000-12-17,0.5162746423001908,0.9712140138204177,0.08280633775213675,Tracy McGrady,6
369,2000-12-17,-0.4468494833588458,-0.6197331347252238,-0.5835388797644793,Ray Allen,11
370,2000-12-17,1.1583573927395485,-0.30154370501609556,0.9712666277742914,Chris Webber,4
371,2000-12-18,-0.4468494833588458,0.3348351544021611,-0.5835388797644793,Michael Finley,15
372,2000-12-18,0.8373160175198697,-0.9379225644343522,-1.0277690247755566,Paul Pierce,13
373,2000-12-19,0.08821947534061901,0.3348351544021611,-0.5835388797644793,Kobe Bryant,9
374,2000-12-19,-1.8380287759774543,-1.2561119941434804,-0.1393087347534019,David Robinson,10
375,2000-12-19,1.3723849762193345,-0.30154370501609556,-0.8056539522700179,Jerry Stackhouse,14
376,2000-12-19,1.1583573927395485,-1.2561119941434804,-0.1393087347534019,Vince Carter,12
377,2000-12-19,-0.33983569161895283,-0.6197331347252238,0.7491515552687528,Chris Webber,4
378,2000-12-19,-0.23282189987905988,-1.2561119941434804,0.7491515552687528,Anthony Mason,16
379,2000-12-19,0.3022470588204049,-1.2561119941434804,1.6376118452909074,Tim Duncan,2
380,2000-12-19,0.7303022257799767,-0.9379225644343522,1.8597269177964464,Kevin Garnett,5
381,2000-12-19,-1.0889322337982035,0.6530245841112894,-1.0277690247755566,John Stockton,17
382,2000-12-19,-1.0889322337982035,-0.6197331347252238,-0.8056539522700179,Karl Malone,7
383,2000-12-20,-0.8749046503184176,-0.6197331347252238,0.9712666277742914,Tim Duncan,2
384,2000-12-20,0.8373160175198697,0.6530245841112894,-0.5835388797644793,Jerry Stackhouse,14
385,2000-12-20,-0.018794316399273953,-0.9379225644343522,-0.1393087347534019,Kevin Garnett,5
386,2000-12-20,-1.6240011924976683,1.9257823029478027,-1.471999169786634,John Stockton,17
387,2000-12-20,-0.23282189987905988,0.016645724693032767,1.1933817002798301,Chris Webber,4
388,2000-12-20,2.442522893618264,-1.2561119941434804,-1.2498840972810952,Vince Carter,12
389,2000-12-20,2.014467726658692,-0.6197331347252238,1.1933817002798301,Karl Malone,7
390,2000-12-20,-1.4099736090178825,-0.9379225644343522,1.1933817002798301,David Robinson,10
391,2000-12-20,-0.23282189987905988,-1.5743014238526087,-0.8056539522700179,Michael Finley,15
392,2000-12-20,2.442522893618264,-1.2561119941434804,-1.0277690247755566,Allen Iverson,1
393,2000-12-20,-1.1959460255380965,-0.9379225644343522,0.5270364827632141,Anthony Mason,16
394,2000-12-20,0.3022470588204049,-0.6197331347252238,-0.3614238072589406,Paul Pierce,13
395,2000-12-21,0.9443298092597627,1.289403443529546,-0.5835388797644793,Tracy McGrady,6
396,2000-12-21,0.9443298092597627,-0.6197331347252238,-0.8056539522700179,Paul Pierce,13
397,2000-12-21,-0.6608770668386317,-0.30154370501609556,0.30492141025767544,Ray Allen,11
398,2000-12-21,2.442522893618264,-0.6197331347252238,-0.8056539522700179,Kobe Bryant,9
399,2000-12-22,0.7303022257799767,0.6530245841112894,-0.1393087347534019,Karl Malone,7
400,2000-12-22,1.3723849762193345,-0.30154370501609556,-0.8056539522700179,Kobe Bryant,9
401,2000-12-22,-0.23282189987905988,1.6075928732386744,-0.1393087347534019,Vince Carter,12
402,2000-12-22,-0.4468494833588458,-1.2561119941434804,-0.1393087347534019,Anthony Mason,16
403,2000-12-22,1.1583573927395485,0.016645724693032767,0.9712666277742914,Chris Webber,4
404,2000-12-22,-0.33983569161895283,0.9712140138204177,-1.6941142422921727,Allen Iverson,1
405,2000-12-22,-0.018794316399273953,0.9712140138204177,0.08280633775213675,Michael Finley,15
406,2000-12-22,-0.23282189987905988,-0.9379225644343522,0.30492141025767544,Kevin Garnett,5
407,2000-12-22,-0.4468494833588458,-0.30154370501609556,1.1933817002798301,Tim Duncan,2
408,2000-12-22,-1.4099736090178825,3.5167294514934446,-1.2498840972810952,John Stockton,17
409,2000-12-22,-0.7678908585785247,-0.6197331347252238,0.5270364827632141,David Robinson,10
410,2000-12-23,-0.33983569161895283,-0.30154370501609556,-0.3614238072589406,Karl Malone,7
411,2000-12-23,0.3022470588204049,0.9712140138204177,-1.0277690247755566,Jerry Stackhouse,14
412,2000-12-23,-1.4099736090178825,-0.6197331347252238,-0.8056539522700179,Ray Allen,11
413,2000-12-23,0.08821947534061901,-0.6197331347252238,0.7491515552687528,Chris Webber,4
414,2000-12-23,-0.5538632750987388,0.9712140138204177,0.30492141025767544,Tracy McGrady,6
415,2000-12-23,0.6232884340400838,-0.6197331347252238,-0.1393087347534019,Paul Pierce,13
416,2000-12-23,-0.8749046503184176,2.5621611623660594,0.5270364827632141,Jason Kidd,8
417,2000-12-23,-0.1258081081391669,1.289403443529546,-0.8056539522700179,John Stockton,17
418,2000-12-23,-1.0889322337982035,-1.2561119941434804,0.08280633775213675,David Robinson,10
419,2000-12-23,-1.3029598172779895,-0.9379225644343522,0.7491515552687528,Anthony Mason,16
420,2000-12-23,-0.23282189987905988,0.016645724693032767,0.30492141025767544,Kevin Garnett,5
421,2000-12-23,0.7303022257799767,-1.5743014238526087,1.8597269177964464,Tim Duncan,2
422,2000-12-25,0.7303022257799767,0.3348351544021611,-1.2498840972810952,Kobe Bryant,9
423,2000-12-25,2.228495310138478,-1.2561119941434804,0.30492141025767544,Tracy McGrady,6
424,2000-12-26,0.6232884340400838,1.6075928732386744,-0.3614238072589406,Jason Kidd,8
425,2000-12-26,-0.5538632750987388,-1.5743014238526087,0.9712666277742914,David Robinson,10
426,2000-12-26,1.0513436009996557,1.9257823029478027,-0.8056539522700179,Vince Carter,12
427,2000-12-26,0.3022470588204049,0.3348351544021611,-0.8056539522700179,Ray Allen,11
428,2000-12-26,-0.23282189987905988,-0.9379225644343522,0.5270364827632141,Tim Duncan,2
429,2000-12-26,-0.33983569161895283,-0.6197331347252238,-1.0277690247755566,Paul Pierce,13
430,2000-12-26,1.6934263514390133,0.9712140138204177,0.30492141025767544,Michael Finley,15
431,2000-12-26,-0.33983569161895283,2.243971732656931,-1.2498840972810952,John Stockton,17
432,2000-12-26,1.1583573927395485,0.6530245841112894,-0.8056539522700179,Jerry Stackhouse,14
433,2000-12-26,-1.0889322337982035,-0.30154370501609556,-0.5835388797644793,Karl Malone,7
434,2000-12-26,0.4092608505602979,0.016645724693032767,0.5270364827632141,Tracy McGrady,6
435,2000-12-26,-0.018794316399273953,1.289403443529546,0.30492141025767544,Kevin Garnett,5
436,2000-12-27,-1.3029598172779895,0.3348351544021611,0.9712666277742914,Anthony Mason,16
437,2000-12-27,0.7303022257799767,-0.6197331347252238,-1.0277690247755566,Allen Iverson,1
438,2000-12-28,0.3022470588204049,-0.9379225644343522,-0.8056539522700179,Paul Pierce,13
439,2000-12-28,0.3022470588204049,-0.30154370501609556,-0.1393087347534019,Michael Finley,15
440,2000-12-28,-0.1258081081391669,0.3348351544021611,0.9712666277742914,Kevin Garnett,5
441,2000-12-28,1.2653711844794415,-0.9379225644343522,-1.0277690247755566,Jerry Stackhouse,14
442,2000-12-28,0.08821947534061901,-0.30154370501609556,-1.471999169786634,Ray Allen,11
443,2000-12-28,1.6934263514390133,-1.2561119941434804,-0.5835388797644793,Kobe Bryant,9
444,2000-12-28,0.4092608505602979,-0.9379225644343522,-0.5835388797644793,Tracy McGrady,6
445,2000-12-28,0.3022470588204049,0.016645724693032767,-1.2498840972810952,Vince Carter,12
